selectielijsten,functie,categorie,onderwerp,omschrijving,waardering,voorbeeldstukken
waterschappen,PRIMAIRE PROCESSEN,2.1 Beleid en Regelgeving,2.1.1. Beleid van het waterschap,Alle stukken waarin de totstandkoming en verantwoording van het beleid van het waterschap wordt weergegeven,B 1,Directieplan; Jaarplan; Perspectievennota; Waterbeheerplan; Waterkwaliteitsbeheersplan; Waterkwantiteitsbeheerplan; Afdelingsplan; Managementrapportage; Directierapportage; Bestuursrapportage
waterschappen,PRIMAIRE PROCESSEN,2.1 Beleid en Regelgeving,2.1.2. Beleid dat niet gerelateerd is aan de primaire waterschapstaken,Voor beleid dat niet gerelateerd is aan de primaire taken van het waterschap zie bij de afzonderlijke onderwerpen,,
waterschappen,PRIMAIRE PROCESSEN,2.1 Beleid en Regelgeving,2.1.3. Beleid van andere organisaties,Beleid voor zover van invloed op de taakuitvoering van het waterschap c.q. oorzaak van wijziging in planvorming,B 5,Europese Kaderrichtlijn Water; Waterbeleid 21ste eeuw; Ruimte voor de rivier; Provinciaal Waterhuishoudingplan; Nationaal bestuursakkoord Water
waterschappen,PRIMAIRE PROCESSEN,2.1 Beleid en Regelgeving,2.1.4. Reglementen en Verordeningen,Reglementen en verordeningen van andere overheidsorganen van toepassing voor het waterschap,B 1,Grenswaterverdrag; Provinciaal waterschapsreglement; Vaarwegenverordening; Wegenverordening; Provinciale Milieuverordening; Verordening Bijzonder Georganiseerd Overleg; Samenwerking belastingen; Gemeenschappelijke Regeling
waterschappen,PRIMAIRE PROCESSEN,2.1 Beleid en Regelgeving,2.1.4. Reglementen en Verordeningen,Verordeningen en regelingen van het waterschap,B 1,Reglement voor het waterschap; Inspraakverordening; Reglement persoonsregistratie; Verordening behandeling klachten; Verordening behandeling bezwaren; Archiefverordening; Verordening (organisatie) financieel beheer; Controleverordening; Treasurystatuut; Verordening subsidi�ring van derden; Legesverordening; Rekenkamercommissie; Schadevergoedingsregeling; Omslagverordening; Omslagklassenverordening; Kostentoedelingsverordening; Verordening op de verontreinigingsheffing; Verordening behandeling bezwaren i.h.k.v. de toepassing van de rechtspositieregelingen; Rechtspositieregelingen zie 3.7 Personeel Pensioenregeling bestuursleden; Uitkeringsregeling bestuursleden; Keur op de watergangen; Keur op de waterkeringen; Keuren zie ook 2.4; Handhavingverordening; Nadeelcompensatieregeling; Compensatieregeling vernattingschade; Verordening stimuleringsbijdrage riolering; Aansluitverordening
waterschappen,PRIMAIRE PROCESSEN,2.1 Beleid en Regelgeving,2.1.4. Reglementen en Verordeningen,Overige stukken betreffende de totstandkoming van de verordeningen en regelingen van het waterschap,5 jaar na vaststelling,"Verslagen vergaderingen, memo�s e.d."
waterschappen,PRIMAIRE PROCESSEN,2.1 Beleid en Regelgeving,2.1.5. Zienswijzen / Inspraak / Beschikking,Zienswijzen en inspraakreacties op besluiten van het waterschap Zie ook 2.2 Planvorming,B 5,Zienswijze / inspraakreactie; Reactie van het waterschap hierop (beschikking)
waterschappen,PRIMAIRE PROCESSEN,2.2 Planvorming,2.2.1. Plannen van het waterschap,"Plannen van de eigen organisatie, inclusief zienswijzen, inspraakreacties, monitoring en milieueffectrapportages (M.E.R.)",B 1 en B 5,Voorbeeldstukken: Afwateringsplan; Bagger(beleids)plan; Bemonsteringsplan; Bedrijfsenergie- en bedrijfsmilieuplan; Beheer- /onderhoudsplan; Beplantingsplan; Calamiteiten- en rampenplan; Emissiebeheerplan; Inrichtingsplan waterberging; Integraal Gebiedsplan
waterschappen,PRIMAIRE PROCESSEN,2.2 Planvorming,2.2.1. Plannen van het waterschap,Overige stukken betreffende de totstandkoming en de uitvoering van bovengenoemde plannen,5 jaar na vaststelling,"Verslagen vergaderingen, memo�s e.d."
waterschappen,PRIMAIRE PROCESSEN,2.2 Planvorming,2.2.2. Plannen van derden,Plannen van derden die een directe relatie hebben met de eigen waterschapstaak,10 jaar,Voorbeeldstukken: Actieplan Waterbeheer 21ste eeuw; Beheerplan voor de Rijkswateren; Bestemmingsplan; Gemeentelijk waterplan; Landschaps(ontwikkelings) Plan; Streekplan; Watertoets
waterschappen,PRIMAIRE PROCESSEN,2.2 Planvorming,2.2.2. Plannen van derden,Rioleringsplannen,20 jaar,Gemeentelijk rioleringsplan
waterschappen,PRIMAIRE PROCESSEN,2.2 Planvorming,2.2.2. Plannen van derden,Inhoudelijke reacties van het waterschap op bovengenoemde plannen,B 3,
waterschappen,PRIMAIRE PROCESSEN,2.2 Planvorming,2.2.2. Plannen van derden,Bovengenoemde plannen die geen relatie hebben met de eigen taak,5 jaar,Zie hierboven
waterschappen,PRIMAIRE PROCESSEN,2.2 Planvorming,2.2.3. Landinrichting / Ruilverkaveling -1.799 e.v.,"Plannen en bestekken voor zover die van belang zijn voor het waterschap, zoals het plan van wegen en waterlopen, het plan van toedeling",B 5,"Voorbeeldstukken: Begrenzingenplan; Inventarisatieplan; Landinrichtingsplan; Lijst geldelijke regelingen; Plan van toedeling; Plan van wegen, waterlopen en kaden; Nota van inlichtingen"
waterschappen,PRIMAIRE PROCESSEN,2.2 Planvorming,2.2.3. Landinrichting / Ruilverkaveling -1.799 e.v.,"Stukken betreffende voorontwerp, inspraak, ontwerp en stemming",5 jaar na het gereedkomen en afwikkeling van het project,Voorbeeldstukken: Nota van beantwoording; Nota van inspraak
waterschappen,PRIMAIRE PROCESSEN,2.2 Planvorming,2.2.3. Landinrichting / Ruilverkaveling -1.799 e.v.,Stukken betreffende door het waterschap ingediende opmerkingen en bezwaren tegen het plan,B 3,
waterschappen,PRIMAIRE PROCESSEN,2.3. Werken van het waterschap,"2.3.1. Aanbesteding van werken -1.777.674 - 1.777.674.14/16/18, -1.791.11/12/13, -1.793.11/12/13, -1.811.11/12/13, -1.813.11/12/13","(Europese) aanbesteding van werken, Aanbesteding van diensten en leveringen zie 3.9 Interne faciliteiten",B 5,"(gewaarmerkt) Bestek met bijlagen, Nota van inlichtingen, Proces-verbaal van eisen, Proces-verbaal van aanbesteding, Proces-verbaal van goedkeuring, Proces-verbaal van oplevering, Gunning, Begroting van werken, Staat van meer- en minder werk, Besprekingsverslag, Verslag van bouwvergadering, Subsidieaanvraag en � toekenning, Eindafrekening, Financi�le rapportage (afrekening en verantwoording), Vergunning, Stukken m.b.t. gebruikte materialen, waaruit informatie over het materiaal blijkt, b.v. kleikeuring"
waterschappen,PRIMAIRE PROCESSEN,2.3. Werken van het waterschap,"2.3.1. Aanbesteding van werken -1.777.674 - 1.777.674.14/16/18, -1.791.11/12/13, -1.793.11/12/13, -1.811.11/12/13, -1.813.11/12/13","(Europese) aanbesteding van werken, Aanbesteding van diensten en leveringen zie 3.9 Interne faciliteiten",7 jaar na oplevering van het werk,"Dag-, week- en maandrapport, Opzichterdagboek, Termijnstaat, Bonnenboek, Opdrachtformulier, Urenstaat, C.A.R.-verzekering, Bankgarantie, Inschrijving / offerte van aannemers aan wie het werk niet is gegund"
waterschappen,PRIMAIRE PROCESSEN,2.3. Werken van het waterschap,"2.3.1. Aanbesteding van werken -1.777.674 - 1.777.674.14/16/18, -1.791.11/12/13, -1.793.11/12/13, -1.811.11/12/13, -1.813.11/12/13","(Europese) aanbesteding van werken, Aanbesteding van diensten en leveringen zie 3.9 Interne faciliteiten",20 jaar,Bedrijfs- en bedieningsvoorschrift
waterschappen,PRIMAIRE PROCESSEN,2.3. Werken van het waterschap,2.3.2. Nadeelcompensatie .07.223,Stukken betreffende de uitvoering nadeelcompensatieregeling,7 jaar na oplevering van het werk, 
waterschappen,PRIMAIRE PROCESSEN,2.3. Werken van het waterschap,2.3.3. Grondgebruik .07.351.34,Stukken betreffende het tijdelijke gebruik van gronden in het kader van de uitvoering van een verbeteringswerk door het waterschap,5 jaar, 
waterschappen,PRIMAIRE PROCESSEN,2.3. Werken van het waterschap,2.3.4. Tijdelijke verkeersmaatergelen -1.811.137,Stukken betreffende de afsluiting van wegen gedurende de uitvoering van een verbeteringswerk,1 jaar, 
waterschappen,PRIMAIRE PROCESSEN,2.3. Werken van het waterschap,2.3.5. Voorlichting .07.353.3,Stukken betreffende de voorlichting aan belanghebbenden over de uitvoering van een verbeteringswerk,1 jaar,Aanschrijving
waterschappen,PRIMAIRE PROCESSEN,2.3. Werken van het waterschap,2.3.5. Voorlichting .07.353.3,Verslagen van voorlichtingsbijeenkomsten,B 3, 
waterschappen,PRIMAIRE PROCESSEN,2.3. Werken van het waterschap,2.3.6. Inspraak,Stukken betreffende de inspraak op een verbeteringswerk,B 3,"Reactienota, Nota van beantwoording"
